 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.00000000  0.00000000  0.01000000    0.8065D+00 -0.231283426276106E+01  0.649927756716726E+01   -0.485993577904284E-01 -0.136568677207762E+00
  0.00000000  0.00000000  0.01000000    0.8778D+00 -0.268575689829807E+01  0.312075848339971E+01   -0.158429081124900E+00 -0.184089222390553E+00
  0.00000000  0.00000000  0.01000000    0.9551D+00 -0.151410598368979E+01  0.125866912349965E+01   -0.390559145512905E+00 -0.324669965413871E+00
  0.00000000  0.00000000  0.01000000    0.1039D+01 -0.288795722424977E+00  0.811679074552640E+00   -0.389094110790091E+00 -0.109357418838510E+01
  0.00000000  0.00000000  0.01000000    0.1129D+01  0.581722113566120E+00  0.739910864330626E+00    0.656668545313269E+00 -0.835237615367443E+00
  0.00000000  0.00000000  0.01000000    0.1228D+01  0.102938883046846E+01  0.119818680727795E+01    0.412532249651518E+00 -0.480178805596907E+00
  0.00000000  0.00000000  0.01000000    0.1334D+01  0.111979859165546E+01  0.140478040275454E+01    0.346970799389776E+00 -0.435272720418638E+00
  0.00000000  0.00000000  0.01000000    0.1449D+01  0.885635944478303E+00  0.184692326190714E+01    0.211093050215074E+00 -0.440217752339322E+00
  0.00000000  0.00000000  0.01000000    0.1574D+01  0.442611410282149E+00  0.163708882066384E+01    0.153900155770927E+00 -0.569231200683239E+00
  0.00000000  0.00000000  0.01000000    0.1710D+01  0.264391777995063E+00  0.126057802866057E+01    0.159372004993205E+00 -0.759860421536134E+00
  0.00000000  0.00000000  0.01000000    0.1856D+01  0.232407611313282E+00  0.957835841828374E+00    0.239234700357577E+00 -0.985972745542618E+00
  0.00000000  0.00000000  0.01000000    0.2015D+01  0.406449514723418E+00  0.546450708326103E+00    0.876328407553302E+00 -0.117817899071586E+01
  0.00000000  0.00000000  0.01000000    0.2187D+01  0.587516120223412E+00  0.606353897890236E+00    0.824190451694702E+00 -0.850616818478034E+00
  0.00000000  0.00000000  0.01000000    0.2373D+01  0.639764998980211E+00  0.450137494909561E+00    0.104549915578682E+01 -0.735611313007288E+00
  0.00000000  0.00000000  0.01000000    0.2575D+01  0.797123511084228E+00  0.343355171931408E+00    0.105817725033386E+01 -0.455802177040411E+00
  0.00000000  0.00000000  0.01000000    0.2794D+01  0.120389925241492E+01  0.262582814062560E+00    0.792913719987010E+00 -0.172942640744530E+00
  0.00000000  0.00000000  0.01000000    0.3030D+01  0.997129576931941E+00  0.127835460367873E+01    0.379359160466705E+00 -0.486351563978743E+00
  0.00000000  0.00000000  0.01000000    0.3287D+01  0.338516857464309E+00  0.783438577783319E+00    0.464759685035510E+00 -0.107560571542182E+01
  0.00000000  0.00000000  0.01000000    0.3565D+01  0.382019667386495E+00  0.238141946018911E+00    0.188511479068280E+01 -0.117513558344641E+01
  0.00000000  0.00000000  0.01000000    0.3866D+01  0.613579980281770E+00  0.161834918265318E+00    0.152377519716240E+01 -0.401903651377695E+00
  0.00000000  0.00000000  0.01000000    0.4192D+01  0.716804848037719E+00  0.150006737338948E+00    0.133654645433055E+01 -0.279700916455737E+00
  0.00000000  0.00000000  0.01000000    0.4545D+01  0.774184285180805E+00  0.125584471634835E+00    0.125856453564675E+01 -0.204158318959711E+00
  0.00000000  0.00000000  0.01000000    0.4928D+01  0.834084501091994E+00  0.102417680634606E+00    0.118111107260920E+01 -0.145029258390624E+00
  0.00000000  0.00000000  0.01000000    0.5343D+01  0.873992684768404E+00  0.128051427241272E+00    0.112012951829669E+01 -0.164113711719427E+00
  0.00000000  0.00000000  0.01000000    0.5792D+01  0.863080342997014E+00  0.140454235886456E+00    0.112874804714589E+01 -0.183687933292155E+00
  0.00000000  0.00000000  0.01000000    0.6279D+01  0.876883951617568E+00  0.716047731460269E-01    0.113284785699245E+01 -0.925063272731494E-01
  0.00000000  0.00000000  0.01000000    0.6806D+01  0.935138113442825E+00  0.688126445577804E-01    0.106360153250416E+01 -0.782656948264725E-01
  0.00000000  0.00000000  0.01000000    0.7377D+01  0.981031866438057E+00  0.104108492284192E+00    0.100798321982988E+01 -0.106968608109816E+00
  0.00000000  0.00000000  0.01000000    0.7995D+01  0.916155690127552E+00  0.221440058803795E+00    0.103126909358447E+01 -0.249263625371456E+00
  0.00000000  0.00000000  0.01000000    0.8665D+01  0.858269597557339E+00  0.871748535526934E-01    0.115323761369234E+01 -0.117134896041067E+00
  0.00000000  0.00000000  0.01000000    0.9391D+01  0.875541784881286E+00  0.942659403975418E-01    0.112906193331530E+01 -0.121561399751428E+00
  0.00000000  0.00000000  0.01000000    0.1018D+02  0.869774966347352E+00  0.445414828315923E-01    0.114671541246937E+01 -0.587237007656405E-01
  0.00000000  0.00000000  0.01000000    0.1103D+02  0.893781654262082E+00  0.126837528071718E-01    0.111861621706907E+01 -0.158744045771578E-01
  0.00000000  0.00000000  0.01000000    0.1195D+02  0.920220536364545E+00  0.219401129423788E-02    0.108668984878551E+01 -0.259091131674609E-02
  0.00000000  0.00000000  0.01000000    0.1295D+02  0.938963263914439E+00  0.287817173695388E-03    0.106500429193852E+01 -0.326452095688309E-03
  0.00000000  0.00000000  0.01000000    0.1403D+02  0.951504951546674E+00 -0.382612259070621E-21    0.105096668007297E+01  0.422607086822864E-21
  0.00000000  0.00000000  0.01000000    0.1521D+02  0.960567643455076E+00 -0.161675399986322E-21    0.104105109808102E+01  0.175221759586908E-21
  0.00000000  0.00000000  0.01000000    0.1648D+02  0.967496898079789E+00 -0.433354677382858E-22    0.103359504509495E+01  0.462960913053698E-22
